respondent_id,h1n1_vaccine,seasonal_vaccine
26918,1.0,1.0
26919,0.1,0.1
26920,0.0,0.0
26921,0.2,0.2
26922,0.0,0.0
26923,0.2,0.2
26924,0.9,0.9
26925,0.2,0.2
26926,0.5,0.5
26927,0.5,0.5
26928,0.0,0.0
26929,0.1,0.1
26930,0.5,0.5
26931,0.2,0.2
26932,0.2,0.2
26933,0.0,0.0
26934,0.3,0.3
26935,0.1,0.1
26936,0.2,0.2
26937,0.2,0.2
26938,0.0,0.0
26939,0.0,0.0
26940,0.0,0.0
26941,0.1,0.1
26942,0.5,0.5
26943,0.2,0.2
26944,0.0,0.0
26945,0.1,0.1
26946,0.1,0.1
26947,0.1,0.1
26948,0.0,0.0
26949,0.0,0.0
26950,0.0,0.0
26951,0.1,0.1
26952,0.9,0.9
26953,0.4,0.4
26954,0.0,0.0
26955,0.1,0.1
26956,0.0,0.0
26957,0.1,0.1
26958,0.2,0.2
26959,0.1,0.1
26960,0.0,0.0
26961,0.3,0.3
26962,0.1,0.1
26963,0.1,0.1
26964,0.1,0.1
26965,0.6,0.6
26966,0.0,0.0
26967,0.1,0.1
26968,0.2,0.2
26969,0.1,0.1
26970,0.7,0.7
26971,0.1,0.1
26972,0.0,0.0
26973,0.1,0.1
26974,0.2,0.2
26975,0.2,0.2
26976,0.9,0.9
26977,0.1,0.1
26978,0.0,0.0
26979,0.6,0.6
26980,0.0,0.0
26981,0.0,0.0
26982,0.8,0.8
26983,0.2,0.2
26984,0.0,0.0
26985,0.0,0.0
26986,0.1,0.1
26987,0.0,0.0
26988,0.0,0.0
26989,0.4,0.4
26990,0.0,0.0
26991,0.2,0.2
26992,0.4,0.4
26993,0.0,0.0
26994,0.2,0.2
26995,0.2,0.2
26996,0.4,0.4
26997,0.0,0.0
26998,0.1,0.1
26999,0.3,0.3
27000,0.1,0.1
27001,0.0,0.0
27002,0.0,0.0
27003,0.0,0.0
27004,0.0,0.0
27005,0.3,0.3
27006,0.9,0.9
27007,0.0,0.0
27008,0.1,0.1
27009,0.1,0.1
27010,0.0,0.0
27011,0.0,0.0
27012,0.2,0.2
27013,0.1,0.1
27014,0.1,0.1
27015,0.0,0.0
27016,0.1,0.1
27017,0.6,0.6
27018,0.0,0.0
27019,1.0,1.0
27020,0.3,0.3
27021,0.3,0.3
27022,0.1,0.1
27023,0.1,0.1
27024,0.1,0.1
27025,0.2,0.2
27026,0.1,0.1
27027,0.0,0.0
27028,0.4,0.4
27029,0.2,0.2
27030,0.3,0.3
27031,0.4,0.4
27032,0.2,0.2
27033,0.4,0.4
27034,0.0,0.0
27035,0.2,0.2
27036,0.3,0.3
27037,0.6,0.6
27038,0.0,0.0
27039,0.6,0.6
27040,0.1,0.1
27041,0.0,0.0
27042,0.1,0.1
27043,0.5,0.5
27044,0.0,0.0
27045,0.1,0.1
27046,0.1,0.1
27047,0.3,0.3
27048,0.1,0.1
27049,0.3,0.3
27050,0.1,0.1
27051,0.1,0.1
27052,0.0,0.0
27053,1.0,1.0
27054,0.0,0.0
27055,0.1,0.1
27056,0.0,0.0
27057,0.0,0.0
27058,1.0,1.0
27059,0.1,0.1
27060,0.0,0.0
27061,0.0,0.0
27062,0.1,0.1
27063,0.0,0.0
27064,0.2,0.2
27065,0.1,0.1
27066,0.1,0.1
27067,0.6,0.6
27068,0.7,0.7
27069,0.7,0.7
27070,0.0,0.0
27071,0.0,0.0
27072,0.3,0.3
27073,0.1,0.1
27074,0.1,0.1
27075,0.5,0.5
27076,0.6,0.6
27077,0.0,0.0
27078,0.1,0.1
27079,0.2,0.2
27080,0.2,0.2
27081,0.1,0.1
27082,0.2,0.2
27083,0.1,0.1
27084,0.8,0.8
27085,0.0,0.0
27086,0.0,0.0
27087,0.1,0.1
27088,0.4,0.4
27089,0.3,0.3
27090,0.4,0.4
27091,0.6,0.6
27092,0.1,0.1
27093,0.2,0.2
27094,0.0,0.0
27095,0.1,0.1
27096,0.1,0.1
27097,0.4,0.4
27098,0.6,0.6
27099,0.3,0.3
27100,0.0,0.0
27101,0.1,0.1
27102,0.2,0.2
27103,0.0,0.0
27104,0.4,0.4
27105,0.0,0.0
27106,0.8,0.8
27107,0.6,0.6
27108,0.1,0.1
27109,0.1,0.1
27110,0.0,0.0
27111,0.1,0.1
27112,0.4,0.4
27113,0.1,0.1
27114,0.0,0.0
27115,0.6,0.6
27116,0.1,0.1
27117,0.0,0.0
27118,0.1,0.1
27119,0.1,0.1
27120,0.2,0.2
27121,0.0,0.0
27122,0.0,0.0
27123,0.1,0.1
27124,0.0,0.0
27125,0.0,0.0
27126,0.3,0.3
27127,0.1,0.1
27128,0.2,0.2
27129,0.3,0.3
27130,0.0,0.0
27131,0.1,0.1
27132,0.3,0.3
27133,0.1,0.1
27134,0.9,0.9
27135,0.1,0.1
27136,0.1,0.1
27137,0.1,0.1
27138,0.1,0.1
27139,0.1,0.1
27140,1.2,1.2
27141,0.6,0.6
27142,0.0,0.0
27143,0.3,0.3
27144,0.0,0.0
27145,0.6,0.6
27146,0.1,0.1
27147,0.1,0.1
27148,0.1,0.1
27149,0.2,0.2
27150,0.3,0.3
27151,0.3,0.3
27152,0.0,0.0
27153,0.3,0.3
27154,0.7,0.7
27155,0.2,0.2
27156,0.0,0.0
27157,0.0,0.0
27158,0.0,0.0
27159,0.0,0.0
27160,0.2,0.2
27161,0.4,0.4
27162,0.1,0.1
27163,0.4,0.4
27164,0.2,0.2
27165,0.5,0.5
27166,0.1,0.1
27167,0.1,0.1
27168,0.1,0.1
27169,0.3,0.3
27170,0.5,0.5
27171,0.0,0.0
27172,0.1,0.1
27173,0.4,0.4
27174,0.1,0.1
27175,0.1,0.1
27176,0.7,0.7
27177,0.9,0.9
27178,0.1,0.1
27179,0.0,0.0
27180,0.2,0.2
27181,0.0,0.0
27182,0.4,0.4
27183,0.0,0.0
27184,0.1,0.1
27185,0.3,0.3
27186,0.2,0.2
27187,0.0,0.0
27188,0.1,0.1
27189,0.2,0.2
27190,0.3,0.3
27191,0.3,0.3
27192,0.3,0.3
27193,0.0,0.0
27194,0.2,0.2
27195,0.0,0.0
27196,0.2,0.2
27197,0.1,0.1
27198,0.7,0.7
27199,0.1,0.1
27200,0.2,0.2
27201,0.5,0.5
27202,0.1,0.1
27203,0.0,0.0
27204,0.1,0.1
27205,0.0,0.0
27206,0.2,0.2
27207,0.0,0.0
27208,0.8,0.8
27209,0.1,0.1
27210,0.2,0.2
27211,0.1,0.1
27212,0.3,0.3
27213,0.3,0.3
27214,0.0,0.0
27215,0.1,0.1
27216,0.2,0.2
27217,0.1,0.1
27218,0.7,0.7
27219,0.6,0.6
27220,0.3,0.3
27221,0.1,0.1
27222,0.1,0.1
27223,0.0,0.0
27224,0.1,0.1
27225,0.3,0.3
27226,0.0,0.0
27227,0.2,0.2
27228,0.6,0.6
27229,0.5,0.5
27230,0.3,0.3
27231,0.5,0.5
27232,0.1,0.1
27233,0.4,0.4
27234,0.0,0.0
27235,1.0,1.0
27236,0.2,0.2
27237,0.6,0.6
27238,0.4,0.4
27239,0.2,0.2
27240,0.1,0.1
27241,0.1,0.1
27242,0.2,0.2
27243,0.0,0.0
27244,0.0,0.0
27245,0.1,0.1
27246,0.8,0.8
27247,0.3,0.3
27248,0.2,0.2
27249,0.1,0.1
27250,0.1,0.1
27251,0.0,0.0
27252,0.2,0.2
27253,0.0,0.0
27254,1.0,1.0
27255,0.2,0.2
27256,0.8,0.8
27257,0.4,0.4
27258,0.3,0.3
27259,0.4,0.4
27260,0.1,0.1
27261,0.2,0.2
27262,0.1,0.1
27263,0.1,0.1
27264,0.1,0.1
27265,0.1,0.1
27266,0.1,0.1
27267,0.2,0.2
27268,0.0,0.0
27269,0.6,0.6
27270,0.0,0.0
27271,0.0,0.0
27272,0.1,0.1
27273,0.1,0.1
27274,0.2,0.2
27275,0.3,0.3
27276,0.0,0.0
27277,0.0,0.0
27278,0.0,0.0
27279,0.0,0.0
27280,0.2,0.2
27281,0.0,0.0
27282,0.1,0.1
27283,0.0,0.0
27284,0.1,0.1
27285,0.0,0.0
27286,0.1,0.1
27287,0.2,0.2
27288,0.6,0.6
27289,0.3,0.3
27290,0.0,0.0
27291,0.5,0.5
27292,0.1,0.1
27293,0.1,0.1
27294,0.0,0.0
27295,0.4,0.4
27296,0.1,0.1
27297,0.1,0.1
27298,0.0,0.0
27299,0.3,0.3
27300,0.1,0.1
27301,0.0,0.0
27302,0.3,0.3
27303,0.1,0.1
27304,0.1,0.1
27305,0.0,0.0
27306,0.2,0.2
27307,0.9,0.9
27308,0.3,0.3
27309,0.7,0.7
27310,0.0,0.0
27311,0.1,0.1
27312,0.1,0.1
27313,0.0,0.0
27314,0.0,0.0
27315,0.1,0.1
27316,0.3,0.3
27317,0.1,0.1
27318,0.1,0.1
27319,0.2,0.2
27320,0.4,0.4
27321,0.1,0.1
27322,0.4,0.4
27323,0.1,0.1
27324,0.3,0.3
27325,0.8,0.8
27326,0.1,0.1
27327,0.2,0.2
27328,0.4,0.4
27329,0.1,0.1
27330,0.1,0.1
27331,0.1,0.1
27332,0.1,0.1
27333,0.8,0.8
27334,0.0,0.0
27335,0.3,0.3
27336,0.1,0.1
27337,0.3,0.3
27338,0.3,0.3
27339,0.2,0.2
27340,0.0,0.0
27341,0.3,0.3
27342,0.2,0.2
27343,0.1,0.1
27344,0.3,0.3
27345,0.1,0.1
27346,0.4,0.4
27347,0.8,0.8
27348,0.0,0.0
27349,0.0,0.0
27350,0.1,0.1
27351,0.7,0.7
27352,0.1,0.1
27353,0.0,0.0
27354,0.3,0.3
27355,0.4,0.4
27356,0.4,0.4
27357,0.1,0.1
27358,0.3,0.3
27359,0.4,0.4
27360,0.2,0.2
27361,0.0,0.0
27362,0.4,0.4
27363,0.0,0.0
27364,0.0,0.0
27365,0.3,0.3
27366,0.3,0.3
27367,0.2,0.2
27368,0.0,0.0
27369,0.0,0.0
27370,0.0,0.0
27371,0.3,0.3
27372,0.1,0.1
27373,1.0,1.0
27374,0.0,0.0
27375,0.1,0.1
27376,0.5,0.5
27377,0.2,0.2
27378,0.1,0.1
27379,0.0,0.0
27380,0.1,0.1
27381,0.1,0.1
27382,0.2,0.2
27383,0.1,0.1
27384,0.0,0.0
27385,0.1,0.1
27386,0.1,0.1
27387,0.5,0.5
27388,0.2,0.2
27389,0.1,0.1
27390,0.0,0.0
27391,0.3,0.3
27392,0.9,0.9
27393,0.0,0.0
27394,0.0,0.0
27395,0.8,0.8
27396,0.1,0.1
27397,1.0,1.0
27398,0.2,0.2
27399,0.3,0.3
27400,0.1,0.1
27401,0.4,0.4
27402,0.3,0.3
27403,0.0,0.0
27404,0.3,0.3
27405,0.8,0.8
27406,0.0,0.0
27407,0.1,0.1
27408,0.2,0.2
27409,0.9,0.9
27410,0.0,0.0
27411,0.0,0.0
27412,0.2,0.2
27413,0.0,0.0
27414,0.7,0.7
27415,0.0,0.0
27416,0.1,0.1
27417,0.3,0.3
27418,0.3,0.3
27419,0.6,0.6
27420,0.1,0.1
27421,0.2,0.2
27422,0.2,0.2
27423,0.0,0.0
27424,0.1,0.1
27425,0.2,0.2
27426,0.1,0.1
27427,0.1,0.1
27428,0.1,0.1
27429,0.4,0.4
27430,0.1,0.1
27431,0.1,0.1
27432,0.3,0.3
27433,0.2,0.2
27434,0.0,0.0
27435,0.3,0.3
27436,0.0,0.0
27437,0.2,0.2
27438,0.0,0.0
27439,0.2,0.2
27440,0.1,0.1
27441,0.9,0.9
27442,0.3,0.3
27443,0.0,0.0
27444,0.0,0.0
27445,0.0,0.0
27446,0.2,0.2
27447,0.1,0.1
27448,0.2,0.2
27449,0.3,0.3
27450,0.2,0.2
27451,0.0,0.0
27452,0.0,0.0
27453,0.0,0.0
27454,0.2,0.2
27455,0.2,0.2
27456,0.1,0.1
27457,0.0,0.0
27458,0.0,0.0
27459,0.1,0.1
27460,0.7,0.7
27461,0.1,0.1
27462,0.0,0.0
27463,0.2,0.2
27464,0.4,0.4
27465,0.9,0.9
27466,0.0,0.0
27467,0.0,0.0
27468,0.0,0.0
27469,0.0,0.0
27470,0.8,0.8
27471,0.1,0.1
27472,0.3,0.3
27473,0.2,0.2
27474,0.2,0.2
27475,0.0,0.0
27476,0.2,0.2
27477,0.0,0.0
27478,0.1,0.1
27479,0.0,0.0
27480,0.3,0.3
27481,0.7,0.7
27482,0.4,0.4
27483,0.6,0.6
27484,0.3,0.3
27485,0.0,0.0
27486,0.1,0.1
27487,0.3,0.3
27488,0.7,0.7
27489,0.9,0.9
27490,0.1,0.1
27491,0.4,0.4
27492,0.0,0.0
27493,0.2,0.2
27494,0.3,0.3
27495,0.1,0.1
27496,0.0,0.0
27497,0.1,0.1
27498,0.1,0.1
27499,0.1,0.1
27500,0.2,0.2
27501,0.1,0.1
27502,0.1,0.1
27503,0.1,0.1
27504,0.0,0.0
27505,0.0,0.0
27506,0.2,0.2
27507,0.1,0.1
27508,0.1,0.1
27509,0.1,0.1
27510,0.5,0.5
27511,0.2,0.2
27512,0.1,0.1
27513,0.1,0.1
27514,0.3,0.3
27515,0.6,0.6
27516,0.6,0.6
27517,0.0,0.0
27518,0.8,0.8
27519,0.0,0.0
27520,0.1,0.1
27521,0.1,0.1
27522,0.2,0.2
27523,0.0,0.0
27524,0.2,0.2
27525,0.0,0.0
27526,0.4,0.4
27527,0.0,0.0
27528,0.4,0.4
27529,0.2,0.2
27530,0.1,0.1
27531,0.1,0.1
27532,0.1,0.1
27533,0.5,0.5
27534,0.1,0.1
27535,0.0,0.0
27536,0.2,0.2
27537,0.4,0.4
27538,0.4,0.4
27539,0.3,0.3
27540,0.3,0.3
27541,0.7,0.7
27542,0.0,0.0
27543,0.5,0.5
27544,0.1,0.1
27545,0.2,0.2
27546,0.5,0.5
27547,0.1,0.1
27548,0.1,0.1
27549,0.0,0.0
27550,0.1,0.1
27551,0.1,0.1
27552,0.0,0.0
27553,0.2,0.2
27554,0.3,0.3
27555,0.1,0.1
27556,0.1,0.1
27557,0.3,0.3
27558,0.1,0.1
27559,0.3,0.3
27560,0.5,0.5
27561,0.6,0.6
27562,0.4,0.4
27563,0.2,0.2
27564,0.3,0.3
27565,0.1,0.1
27566,0.3,0.3
27567,0.1,0.1
27568,0.4,0.4
27569,0.0,0.0
27570,0.4,0.4
27571,0.0,0.0
27572,0.0,0.0
27573,0.0,0.0
27574,0.3,0.3
27575,0.0,0.0
27576,0.0,0.0
27577,0.1,0.1
27578,0.3,0.3
27579,0.1,0.1
27580,0.1,0.1
27581,0.1,0.1
27582,0.1,0.1
27583,0.0,0.0
27584,0.7,0.7
27585,0.2,0.2
27586,0.5,0.5
27587,0.1,0.1
27588,0.1,0.1
27589,0.2,0.2
27590,0.2,0.2
27591,0.3,0.3
27592,0.1,0.1
27593,0.1,0.1
27594,0.1,0.1
27595,0.0,0.0
27596,0.1,0.1
27597,0.1,0.1
27598,0.1,0.1
27599,0.4,0.4
27600,0.1,0.1
27601,0.0,0.0
27602,0.9,0.9
27603,0.1,0.1
27604,0.0,0.0
27605,0.5,0.5
27606,0.2,0.2
27607,0.5,0.5
27608,0.2,0.2
27609,0.3,0.3
27610,0.4,0.4
27611,0.3,0.3
27612,0.0,0.0
27613,0.9,0.9
27614,0.1,0.1
27615,0.3,0.3
27616,0.0,0.0
27617,0.4,0.4
27618,0.3,0.3
27619,0.4,0.4
27620,0.3,0.3
27621,0.2,0.2
27622,0.7,0.7
27623,0.2,0.2
27624,0.3,0.3
27625,0.0,0.0
27626,0.0,0.0
27627,0.9,0.9
27628,0.1,0.1
27629,0.0,0.0
27630,0.4,0.4
27631,0.1,0.1
27632,0.0,0.0
27633,0.5,0.5
27634,0.0,0.0
27635,0.1,0.1
27636,0.5,0.5
27637,0.0,0.0
27638,0.2,0.2
27639,0.0,0.0
27640,0.7,0.7
27641,0.4,0.4
27642,0.3,0.3
27643,0.0,0.0
27644,0.0,0.0
27645,0.1,0.1
27646,0.0,0.0
27647,0.1,0.1
27648,0.0,0.0
27649,0.1,0.1
27650,0.1,0.1
27651,0.4,0.4
27652,0.1,0.1
27653,0.0,0.0
27654,0.4,0.4
27655,0.2,0.2
27656,0.1,0.1
27657,0.4,0.4
27658,0.1,0.1
27659,0.0,0.0
27660,0.3,0.3
27661,0.1,0.1
27662,0.0,0.0
27663,0.4,0.4
27664,0.1,0.1
27665,0.7,0.7
27666,0.2,0.2
27667,0.0,0.0
27668,0.8,0.8
27669,0.3,0.3
27670,0.6,0.6
27671,0.2,0.2
27672,0.0,0.0
27673,0.0,0.0
27674,0.1,0.1
27675,0.6,0.6
27676,0.3,0.3
27677,0.1,0.1
27678,0.1,0.1
27679,0.1,0.1
27680,0.9,0.9
27681,0.0,0.0
27682,0.0,0.0
27683,0.2,0.2
27684,0.1,0.1
27685,0.0,0.0
27686,0.2,0.2
27687,0.0,0.0
27688,0.1,0.1
27689,0.7,0.7
27690,0.7,0.7
27691,0.9,0.9
27692,0.0,0.0
27693,0.1,0.1
27694,0.1,0.1
27695,0.1,0.1
27696,0.0,0.0
27697,0.7,0.7
27698,0.2,0.2
27699,0.0,0.0
27700,0.2,0.2
27701,0.2,0.2
27702,0.3,0.3
27703,0.0,0.0
27704,0.0,0.0
27705,0.4,0.4
27706,0.2,0.2
27707,0.0,0.0
27708,0.3,0.3
27709,0.3,0.3
27710,0.1,0.1
27711,0.5,0.5
27712,0.0,0.0
27713,0.0,0.0
27714,0.2,0.2
27715,0.9,0.9
27716,0.1,0.1
27717,0.1,0.1
27718,0.2,0.2
27719,0.0,0.0
27720,0.0,0.0
27721,0.4,0.4
27722,0.2,0.2
27723,0.3,0.3
27724,0.1,0.1
27725,0.1,0.1
27726,0.1,0.1
27727,0.4,0.4
27728,0.4,0.4
27729,0.1,0.1
27730,0.8,0.8
27731,0.8,0.8
27732,0.0,0.0
27733,0.1,0.1
27734,0.1,0.1
27735,0.4,0.4
27736,0.2,0.2
27737,0.1,0.1
27738,0.6,0.6
27739,0.6,0.6
27740,0.1,0.1
27741,0.2,0.2
27742,0.1,0.1
27743,0.6,0.6
27744,0.1,0.1
27745,0.6,0.6
27746,0.1,0.1
27747,0.1,0.1
27748,0.2,0.2
27749,0.2,0.2
27750,0.2,0.2
27751,0.1,0.1
27752,0.4,0.4
27753,0.0,0.0
27754,0.1,0.1
27755,1.0,1.0
27756,0.1,0.1
27757,0.1,0.1
27758,0.1,0.1
27759,0.0,0.0
27760,0.3,0.3
27761,0.1,0.1
27762,0.0,0.0
27763,0.0,0.0
27764,0.5,0.5
27765,0.1,0.1
27766,0.8,0.8
27767,0.5,0.5
27768,0.1,0.1
27769,0.1,0.1
27770,0.0,0.0
27771,0.1,0.1
27772,0.9,0.9
27773,0.1,0.1
27774,0.2,0.2
27775,0.2,0.2
27776,0.0,0.0
27777,0.2,0.2
27778,0.2,0.2
27779,0.0,0.0
27780,0.1,0.1
27781,0.0,0.0
27782,0.9,0.9
27783,0.2,0.2
27784,0.1,0.1
27785,0.1,0.1
27786,0.0,0.0
27787,0.1,0.1
27788,0.0,0.0
27789,0.9,0.9
27790,0.7,0.7
27791,0.1,0.1
27792,0.0,0.0
27793,0.1,0.1
27794,0.1,0.1
27795,0.3,0.3
27796,0.1,0.1
27797,0.4,0.4
27798,0.1,0.1
27799,0.1,0.1
27800,0.3,0.3
27801,0.0,0.0
27802,0.8,0.8
27803,0.0,0.0
27804,0.5,0.5
27805,0.1,0.1
27806,0.4,0.4
27807,0.2,0.2
27808,0.3,0.3
27809,0.5,0.5
27810,0.0,0.0
27811,0.0,0.0
27812,0.1,0.1
27813,0.3,0.3
27814,0.2,0.2
27815,0.1,0.1
27816,0.6,0.6
27817,0.1,0.1
27818,0.2,0.2
27819,0.1,0.1
27820,0.8,0.8
27821,0.1,0.1
27822,0.2,0.2
27823,0.4,0.4
27824,0.2,0.2
27825,0.2,0.2
27826,0.3,0.3
27827,0.1,0.1
27828,0.0,0.0
27829,0.0,0.0
27830,0.2,0.2
27831,0.0,0.0
27832,0.0,0.0
27833,0.2,0.2
27834,0.7,0.7
27835,0.3,0.3
27836,0.1,0.1
27837,0.5,0.5
27838,0.0,0.0
27839,0.0,0.0
27840,0.4,0.4
27841,0.1,0.1
27842,0.4,0.4
27843,0.1,0.1
27844,0.0,0.0
27845,0.1,0.1
27846,0.1,0.1
27847,0.0,0.0
27848,0.6,0.6
27849,0.1,0.1
27850,0.1,0.1
27851,0.4,0.4
27852,0.2,0.2
27853,0.1,0.1
27854,0.1,0.1
27855,0.1,0.1
27856,0.2,0.2
27857,0.4,0.4
27858,0.7,0.7
27859,1.0,1.0
27860,0.1,0.1
27861,0.0,0.0
27862,0.0,0.0
27863,0.2,0.2
27864,0.1,0.1
27865,0.2,0.2
27866,0.8,0.8
27867,0.6,0.6
27868,0.5,0.5
27869,0.0,0.0
27870,0.2,0.2
27871,0.2,0.2
27872,0.0,0.0
27873,0.1,0.1
27874,0.2,0.2
27875,0.2,0.2
27876,0.1,0.1
27877,0.3,0.3
27878,0.0,0.0
27879,0.2,0.2
27880,0.0,0.0
27881,0.1,0.1
27882,0.0,0.0
27883,0.1,0.1
27884,0.1,0.1
27885,0.0,0.0
27886,0.2,0.2
27887,0.4,0.4
27888,0.0,0.0
27889,0.0,0.0
27890,0.1,0.1
27891,0.3,0.3
27892,0.1,0.1
27893,0.0,0.0
27894,0.2,0.2
27895,0.2,0.2
27896,0.0,0.0
27897,0.0,0.0
27898,0.1,0.1
27899,0.0,0.0
27900,0.5,0.5
27901,0.1,0.1
27902,0.0,0.0
27903,0.1,0.1
27904,0.2,0.2
27905,0.1,0.1
27906,0.0,0.0
27907,0.8,0.8
27908,0.4,0.4
27909,0.2,0.2
27910,0.1,0.1
27911,0.5,0.5
27912,0.0,0.0
27913,0.0,0.0
27914,0.0,0.0
27915,0.0,0.0
27916,0.1,0.1
27917,0.1,0.1
27918,0.2,0.2
27919,0.1,0.1
27920,0.2,0.2
27921,0.2,0.2
27922,0.5,0.5
27923,0.3,0.3
27924,0.1,0.1
27925,0.0,0.0
27926,0.4,0.4
27927,0.0,0.0
27928,0.6,0.6
27929,0.0,0.0
27930,0.2,0.2
27931,1.0,1.0
27932,0.1,0.1
27933,0.0,0.0
27934,0.3,0.3
27935,0.1,0.1
27936,0.2,0.2
27937,0.9,0.9
27938,0.0,0.0
27939,0.0,0.0
27940,0.0,0.0
27941,0.0,0.0
27942,0.0,0.0
27943,0.0,0.0
27944,0.3,0.3
27945,0.4,0.4
27946,0.1,0.1
27947,0.6,0.6
27948,0.0,0.0
27949,0.1,0.1
27950,0.0,0.0
27951,0.7,0.7
27952,0.0,0.0
27953,0.2,0.2
27954,0.1,0.1
27955,0.0,0.0
27956,0.6,0.6
27957,0.0,0.0
27958,0.7,0.7
27959,0.2,0.2
27960,0.1,0.1
27961,0.0,0.0
27962,0.9,0.9
27963,0.0,0.0
27964,0.0,0.0
27965,0.0,0.0
27966,0.5,0.5
27967,0.1,0.1
27968,0.2,0.2
27969,0.5,0.5
27970,0.0,0.0
27971,0.1,0.1
27972,0.1,0.1
27973,0.5,0.5
27974,0.1,0.1
